,bet_offer_id,closed,criterion_id,criterion_label,criterion_english_label,occurrence_type,lifetime,bet_offer_type_id,bet_offer_type_name,bet_offer_type_english_name,event_id,outcome_id,outcome_label,outcome_english_label,odds,line,participant,type,changed_date,odds_fractional,odds_american,status,cash_out_status,home_score,away_score
4249,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249279,2-3,2-3,17000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,16/1,1600,OPEN,ENABLED,2,3
4250,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249286,2-4,2-4,29000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,28/1,2800,OPEN,ENABLED,2,4
4251,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249292,2-5,2-5,61000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,60/1,6000,OPEN,ENABLED,2,5
4252,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249299,2-6,2-6,141000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,140/1,14000,OPEN,ENABLED,2,6
4253,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249306,3-0,3-0,51000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,50/1,5000,OPEN,ENABLED,3,0
4254,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249313,3-1,3-1,29000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,28/1,2800,OPEN,ENABLED,3,1
4255,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249321,3-2,3-2,26000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,25/1,2500,OPEN,ENABLED,3,2
4256,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249329,3-3,3-3,34000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,33/1,3300,OPEN,ENABLED,3,3
4257,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249336,3-4,3-4,56000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,55/1,5500,OPEN,ENABLED,3,4
4258,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249341,3-5,3-5,121000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,120/1,12000,OPEN,ENABLED,3,5
4259,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249347,3-6,3-6,301000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,300/1,30000,OPEN,ENABLED,3,6
4260,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249351,4-0,4-0,131000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,130/1,13000,OPEN,ENABLED,4,0
4261,2470295102,2024-11-23T15:00:00Z,1001159780,Correcte Score,Correct Score,GOALS,FULL_TIME,3,Correcte Score,Correct Score,1021042514,3560249354,4-1,4-1,76000.0,,,OT_UNTYPED,2024-11-04T08:33:07Z,75/1,7500,OPEN,ENABLED,4,1
