,bet_offer_id,criterion_id,criterion_label,criterion_english_label,occurrence_type,lifetime,bet_offer_type_id,bet_offer_type_name,bet_offer_type_english_name,event_id,outcome_id,outcome_label,outcome_english_label,odds,line,participant,type,changed_date,odds_fractional,odds_american,status,cash_out_status,home_score,away_score,event_name,sport,group_name
89,2484152326,2100034872,Bologna Raakt het Houtwerk in de Wedstrijd (Afgewikkeld volgens Opta-gegevens. Met uitzondering van situaties waarbij een doelpunt direct volgt na het raken van de paal of lat. Schoten tegen het houtwerk worden alleen toegeschreven aan het aanvallende team),Bologna to Hit the Woodwork in the Match (Settled using Opta data. Excluding woodwork hits that result directly in a goal. Woodwork hits are only counted for the attacking team),,FULL_TIME,18,Ja/Nee,Yes/No,1022274708,3608176539,Ja,Yes,2900.0,,,OT_YES,2025-01-21T14:52:59Z,19/10,190,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
90,2484152327,1002035672,Totaal Aantal Schoten op Doel door Bologna (Afgehandeld Volgens Opta-Gegevens),Total Shots on Target by Bologna (Settled using Opta data),,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3608176533,Meer dan,Over,1950.0,4500.0,,OT_OVER,2025-01-21T14:53:00Z,19/20,-106,OPEN,DISABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
91,2484152327,1002035672,Totaal Aantal Schoten op Doel door Bologna (Afgehandeld Volgens Opta-Gegevens),Total Shots on Target by Bologna (Settled using Opta data),,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3608176541,Minder dan,Under,1750.0,4500.0,,OT_UNDER,2025-01-21T14:53:00Z,3/4,-134,OPEN,DISABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
92,2484152330,1001159967,Totaal Aantal Doelpunten door Bologna,Total Goals by Bologna,,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3608176538,Meer dan,Over,5800.0,2500.0,,OT_OVER,2025-01-21T14:53:00Z,24/5,480,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
93,2484152330,1001159967,Totaal Aantal Doelpunten door Bologna,Total Goals by Bologna,,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3608176544,Minder dan,Under,1090.0,2500.0,,OT_UNDER,2025-01-21T14:53:00Z,1/12,-1115,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
94,2484152335,1001159886,Scoort,To Score,GOALS,FULL_TIME,127,Player Occurrence Line,Player Occurrence Line,1022274708,3608176550,Ja,Yes,5800.0,1000.0,"Nmecha, Felix",OT_YES,2025-01-21T14:53:00Z,24/5,480,OPEN,DISABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
95,2484152337,1001159886,Scoort,To Score,GOALS,FULL_TIME,127,Player Occurrence Line,Player Occurrence Line,1022274708,3608176554,Ja,Yes,5800.0,1000.0,"Fabbian, Giovanni",OT_YES,2025-01-21T14:53:00Z,24/5,480,OPEN,DISABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
96,2484152340,1001264082,Geeft Een Assist (Afgehandeld volgens Opta-gegevens),To give an assist (Settled using Opta data),,FULL_TIME,127,Player Occurrence Line,Player Occurrence Line,1022274708,3608176559,Ja,Yes,8000.0,1000.0,"Miranda, Juan",OT_YES,2025-01-21T14:53:00Z,7/1,700,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
97,2484152341,1003314795,Scoort of Geeft Een Assist (Afgehandeld volgens Opta-gegevens),To score or give an assist (Settled using Opta data),,FULL_TIME,127,Player Occurrence Line,Player Occurrence Line,1022274708,3608176561,Ja,Yes,6250.0,1000.0,"Miranda, Juan",OT_YES,2025-01-21T14:53:00Z,21/4,525,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
98,2484152344,1002035672,Totaal Aantal Schoten op Doel door Bologna (Afgehandeld Volgens Opta-Gegevens),Total Shots on Target by Bologna (Settled using Opta data),,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3608176574,Meer dan,Over,2800.0,5500.0,,OT_OVER,2025-01-21T14:53:00Z,9/5,180,OPEN,DISABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
99,2484152344,1002035672,Totaal Aantal Schoten op Doel door Bologna (Afgehandeld Volgens Opta-Gegevens),Total Shots on Target by Bologna (Settled using Opta data),,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3608176576,Minder dan,Under,1360.0,5500.0,,OT_UNDER,2025-01-21T14:53:00Z,7/20,-278,OPEN,DISABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
